Question,Options,Correct Option,Explanation,Topic
"Ifmandnare whole numbers such thatmn= 121, the value of (m- 1)n+ 1is:","['1', '10', '121', '1000']",D,"We know that 112= 121.Puttingm= 11 andn= 2, we get:(m- 1)n+ 1= (11 - 1)(2 + 1)= 103= 1000.",surds-and-indices
xb(b+c-a).xc(c+a-b).xa(a+b-c)= ?xcxaxb,"['xabc', '1', 'xab+bc+ca', 'xa+b+c']",B,Given Exp.=x(b-c)(b+c-a).x(c-a)(c+a-b).x(a-b)(a+b-c)=x(b-c)(b+c) -a(b-c).x(c-a)(c+a) -b(c-a).x(a-b)(a+b) -c(a-b)=x(b2-c2+c2-a2+a2-b2).x-a(b-c) -b(c-a) -c(a-b)= (x0xx0)= (1 x 1) = 1.,surds-and-indices
"Ifx= 3 + 22, then the value ofx-1is:x","['1', '2', '22', '33']",B,x-12=x+1- 2xx= (3 + 22) +1- 2(3 + 22)= (3 + 22) +1x(3 - 22)- 2(3 + 22)(3 - 22)= (3 + 22) + (3 - 22) - 2= 4.x-1= 2.x,surds-and-indices
"A and B together have Rs. 1210. Ifof A's amount is equal toof B's amount, how much amount does B have?","['Rs. 460', 'Rs. 484', 'Rs. 550', 'Rs. 664']",B,4A=2B155A =2x15B54A =3B2A=3B2A : B = 3 : 2.B's share = Rs.1210 x2= Rs. 484.5,ratio-and-proportion
Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is:,"['2 : 5', '3 : 5', '4 : 5', '6 : 7']",C,"Let the third number bex.Then, first number = 120% ofx=120x=6x1005Second number = 150% ofx=150x=3x1002Ratio of first two numbers =6x:3x= 12x: 15x= 4 : 5.52",ratio-and-proportion
"A sum of money is to be distributed among A, B, C, D in the proportion of  5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is B's share?","['Rs. 500', 'Rs. 1500', 'Rs. 2000', 'None of these']",C,"Let the shares of A, B, C and D be Rs. 5x, Rs. 2x, Rs. 4xand Rs. 3xrespectively.Then, 4x- 3x= 1000x= 1000.B's share = Rs. 2x= Rs. (2 x 1000) = Rs. 2000.",ratio-and-proportion
"Seats for Mathematics, Physics and Biology in a school are in the ratio 5 : 7 : 8. There is a proposal to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats?","['2 : 3 : 4', '6 : 7 : 8', '6 : 8 : 9', 'None of these']",A,"Originally, let the number of seats for Mathematics, Physics and Biology be 5x, 7xand 8xrespectively.Number of increased seats are (140% of 5x), (150% of 7x) and (175% of 8x).140x 5x,150x 7xand175x 8x1001001007x,21xand 14x.2The required ratio = 7x:21x: 14x214x: 21x: 28x2 : 3 : 4.",ratio-and-proportion
"In a mixture 60 litres, the ratio of milk and water 2 : 1. If this ratio is to be 1 : 2, then the quantity of water to be further added is:","['20 litres', '30 litres', '40 litres', '60 litres']",D,"Quantity of milk =60 x2litres = 40 litres.3Quantity of water in it = (60- 40) litres = 20 litres.New ratio = 1 : 2Let quantity of water to be added further bexlitres.Then, milk : water =40.20 +xNow,40=120 +x220 +x= 80x= 60.Quantity of water to be added = 60 litres.",ratio-and-proportion
"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage increase in the number of boys and girls be 20% and 10% respectively, what will be the new ratio?","['8 : 9', '17 : 18', '21 : 22', 'Cannot be determined']",C,"Originally, let the number of boys and girls in the college be 7xand 8xrespectively.Their increased number is (120% of 7x) and (110% of 8x).120x 7xand110x 8x10010042xand44x55The required ratio =42x:44x= 21 : 22.55",ratio-and-proportion
"Salaries of Ravi and Sumit are in the ratio 2 : 3. If the salary of each is increased by Rs. 4000, the new ratio becomes 40 : 57. What is Sumit's salary?","['Rs. 17,000', 'Rs. 20,000', 'Rs. 25,500', 'Rs. 38,000']",D,"Let the original salaries of Ravi and Sumit be Rs. 2xand Rs. 3xrespectively.Then,2x+ 4000=403x+ 40005757(2x+ 4000) = 40(3x+ 4000)6x= 68,0003x= 34,000Sumit's present salary = (3x+ 4000) = Rs.(34000 + 4000) = Rs. 38,000.",ratio-and-proportion
"If 0.75 :x:: 5 : 8, thenxis equal to:","['1.12', '1.2', '1.25', '1.30']",B,(xx 5) = (0.75 x 8)x=6= 1.205,ratio-and-proportion
"The sum of three numbers is 98. If the ratio of the first to second is 2 :3 and that of the second to the third is 5 : 8, then the second number is:","['20', '30', '48', '58']",B,"Let the three parts be A, B, C. Then,A : B = 2 : 3 and B : C = 5 : 8 =5 x3:8 x3= 3 :24555A : B : C = 2 : 3 :24= 10 : 15 : 245B =98 x15= 30.49",ratio-and-proportion
"If Rs. 782 be divided into three parts, proportional to::, then the first part is:","['Rs. 182', 'Rs. 190', 'Rs. 196', 'Rs. 204']",D,Given ratio =::= 6 : 8 : 9.1stpart = Rs.782 x6= Rs. 20423,ratio-and-proportion
"The salaries A, B, C are in the ratio 2 : 3 : 5. If the increments of 15%, 10% and 20% are allowed respectively in their salaries, then what will be new ratio of their salaries?","['3 : 3 : 10', '10 : 11 : 20', '23 : 33 : 60', 'Cannot be determined']",C,"Let A = 2k, B = 3kand C = 5k.A's new salary =115of 2k=115x 2k=23k10010010B's new salary =110of 3k=110x 3k=33k10010010C's new salary =120of 5k=120x 5k= 6k100100New ratio23k:33k: 6k= 23 : 33 : 601010",ratio-and-proportion
"If 40% of a number is equal  to two-third of another number, what is the ratio of first number to the second number?","['2 : 5', '3 : 7', '5 : 3', '7 : 3']",C,"Let 40% of A =2B3Then,40A=2B10032A=2B53A=2x5=5B323A : B = 5 : 3.",ratio-and-proportion
"The fourth proportional to 5, 8, 15 is:","['18', '24', '19', '20']",B,"Let the fourth proportional to 5, 8, 15 bex.Then, 5 : 8 : 15 :x5x= (8 x 15)x=(8 x 15)= 24.5",ratio-and-proportion
"Two number are in the ratio 3 : 5. If 9 is subtracted from each, the new numbers are in the ratio 12 : 23. The smaller number is:","['27', '33', '49', '55']",B,"Let the numbers be 3xand 5x.Then,3x- 9=125x- 92323(3x- 9) = 12(5x- 9)9x= 99x= 11.The smaller number = (3 x 11) = 33.",ratio-and-proportion
"In a bag, there are coins of 25 p, 10 p and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?","['50', '100', '150', '200']",C,"Let the number of 25 p, 10 p and 5 p coins bex, 2x, 3xrespectively.Then, sum of their values = Rs.25x+10 x 2x+5 x 3x= Rs.60x10010010010060x= 30x=30 x 100= 50.10060Hence, the number of 5 p coins = (3 x 50) = 150.",ratio-and-proportion
"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?","['9', '10', '11', '12']",D,"Let the required number of working hours per day bex.More pumps, Less working hours per day (Indirect Proportion)Less days, More working hours per day (Indirect Proportion)Pumps4:3::8 :xDays1:24 x 1 xx= 3 x 2 x 8x=(3 x 2 x 8)(4)x= 12.",chain-rule
"If the cost ofxmetres of wire is d rupees, then what is the cost ofymetres of wire at the same rate?","['Rs.xyd', 'Rs. (xd)', 'Rs. (yd)', 'Rs.ydx']",D,Cost ofxmetres = Rs. d.Cost of 1 metre = Rs.dxCost ofymetres = Rs.d.y= Rs.yd.xx,chain-rule
"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines produce in 4 minutes?","['648', '1800', '2700', '10800']",B,"Let the required number of bottles bex.More machines, More bottles (Direct Proportion)More minutes, More bottles (Direct Proportion)Machines6:10::270 :xTime (in minutes)1:46 x 1 xx= 10 x 4 x 270x=(10 x 4 x 270)(6)x= 1800.",chain-rule
"A fort had provision of food for 150 men for 45 days. After 10 days, 25 men left the fort. The number of days for which the remaining food will last, is:","['2915', '3714', '42', '54']",C,"After 10 days : 150 men had food for 35 days.Suppose 125 men had food forxdays.Now,Less men, More days (Indirect Proportion)125 : 150::35 :x125 xx= 150 x 35x=150 x 35125x= 42.",chain-rule
"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?","['10', '13', '14', '15']",B,"Let the required number of days bex.Less persons, More days (Indirect Proportion)More working hours per day, Less days (Indirect Proportion)Persons30:39::12 :xWorking hours/day6:530 x 6 xx= 39 x 5 x 12x=(39 x 5 x 12)(30 x 6)x= 13.",chain-rule
"A man completesof a job in 10 days. At this rate, how many more days will it takes him to finish the job?","['5', '6', '7', '712']",B,"Work done =58Balance work =1 -5=388Let the required number of days bex.Then,5:3=::10 :x5xx=3x 108888x=3x 10 x885x= 6.",chain-rule
"If a quarter kg of potato costs 60 paise, how many paise will 200 gm cost?","['48 paise', '54 paise', '56 paise', '72 paise']",A,"Let the required weight bexkg.Less weight, Less cost (Direct Proportion)250 : 200::60 :x250 xx= (200 x 60)x=(200 x 60)250x= 48.",chain-rule
"In a dairy farm, 40 cows eat 40 bags of husk in 40 days. In how many days one cow will eat one bag of husk?","['1', '140', '40', '80']",C,"Let the required number of days bex.Less cows, More days (Indirect Proportion)Less bags, Less days (Direct Proportion)Cows1:40::40 :xBags40:11 x 40 xx= 40 x 1 x 40x= 40.",chain-rule
"A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions, then the number of revolutions mad by the larger wheel is:","['4', '9', '12', '49']",B,"Let the required number of revolutions made by larger wheel bex.Then,More cogs, Less revolutions (Indirect Proportion)14 : 6::21 :x14 xx= 6 x 21x=6 x 2114x= 9.",chain-rule
"If 7 spiders make 7 webs in 7 days, then 1 spider will make 1 web in how many days?","['1', '72', '7', '49']",C,"Let the required number days bex.Less spiders, More days (Indirect Proportion)Less webs, Less days (Direct Proportion)Spiders1:7::7 :xWebs7:11 x 7 xx= 7 x 1 x 7x= 7.",chain-rule
"A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of the building, which casts a shadow of length 28.75 m under similar conditions will be:","['10 m', '12.5 m', '17.5 m', '21.25 m']",B,"Let the height of the buildingxmetres.Less lengthy shadow, Less in the height (Direct Proportion)40.25 : 28.75::17.5 :x40.25 xx= 28.75 x 17.5x=28.75 x 17.540.25x= 12.5",chain-rule
"In a camp, there is a meal for 120 men or 200 children. If 150 children have taken the meal, how many men will be catered to with remaining meal?","['20', '30', '40', '50']",B,"There is a meal for 200 children. 150 children have taken the meal.Remaining meal is to be catered to 50 children.Now, 200 children120 men.50 children120x 50= 30 men.200",chain-rule
"An industrial loom weaves 0.128 metres of cloth every second. Approximately, how many seconds will it take for the loom to weave 25 metres of cloth?","['178', '195', '204', '488']",B,"Le the required time bexseconds.More metres, More time (Direct Proportion)0.128 : 25::1 :x0.128x= 25 x 1x=25=25 x 10000.128128x= 195.31.Required time = 195 sec (approximately).",chain-rule
36 men can complete a piece of work in 18 days. In how many days will 27 men complete the same work?,"['12', '18', '22', '24', 'None of these']",D,"Let the required number of days bex.Less men, More days (Indirect Proportion)27 : 36::18 :x27 xx= 36 x 18x=36 x 1827x= 24.",chain-rule
"4 mat-weavers can weave 4 mats in 4 days. At the same rate, how many mats would be woven by 8 mat-weavers in 8 days?","['4', '8', '12', '16']",D,"Let the required number of bottles bex.More weavers, More mats (Direct Proportion)More days, More mats (Direct Proportion)Wavers4:8::4 :xDays4:84 x 4 xx= 8 x 8 x 4x=(8 x 8 x 4)(4 x 4)x= 16.",chain-rule
"Three pipes A, B and C can fill a tank from empty to full in 30 minutes, 20 minutes, and 10 minutes respectively. When the tank is empty, all the three pipes are opened. A, B and C discharge chemical solutions P,Q and R respectively. What is the proportion of the solution R in the liquid in the tank after 3 minutes?","['511', '611', '711', '811']",B,Part filled by (A + B + C) in 3 minutes = 31+1+1=3 x11=11.3020106020Part filled by C in 3 minutes =3.10Required ratio =3x20=6.101111,pipes-and-cistern
"Pipes A and B can fill a tank in 5 and 6 hours respectively. Pipe C can empty it in 12 hours. If all the three pipes are opened together, then the tank will be filled in:","['113hours17', '28hours11', '39hours17', '41hours2']",C,"Net part filled in 1 hour1+1-1=17.561260The tank will be full in60hoursi.e.,39hours.1717",pipes-and-cistern
"A pump can fill a tank with water in 2 hours. Because of a leak, it took 2hours to fill the tank. The leak can drain all the water of the tank in:","['41hours3', '7 hours', '8 hours', '14 hours']",D,Work done by the leak in 1 hour =1-3=1.2714Leak will empty the tank in 14 hrs.,pipes-and-cistern
"Two pipes A and B can fill a cistern in 37minutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the B is turned off after:","['5 min.', '9 min.', '10 min.', '15 min.']",B,"Let B be turned off afterxminutes. Then,Part filled by (A + B) inxmin. + Part filled by A in (30 -x) min. = 1.x2+1+ (30 -x).2= 175457511x+(60 -2x)= 12257511x+ 180 - 6x= 225.x= 9.",pipes-and-cistern
A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,"['6 hours', '10 hours', '15 hours', '30 hours']",C,"Suppose, first pipe alone takesxhours to fill the tank .Then, second and third pipes will take (x-5) and (x- 9) hours respectively to fill the tank.1+1=1x(x- 5)(x- 9)x- 5 +x=1x(x- 5)(x- 9)(2x- 5)(x- 9) =x(x- 5)x2- 18x+ 45 = 0(x- 15)(x- 3) = 0x= 15.    [neglectingx= 3]",pipes-and-cistern
Two pipes can fill a tank in 20 and 24 minutes respectively and a waste pipe can empty 3 gallons per minute. All the three pipes working together can fill the tank in 15 minutes. The capacity of the tank is:,"['60 gallons', '100 gallons', '120 gallons', '180 gallons']",C,Work done by the waste pipe in 1 minute =1-1+1152024=1-1115120= -1.    [-ve sign means emptying]40Volume of1part = 3 gallons.40Volume of whole = (3 x 40) gallons = 120 gallons.,pipes-and-cistern
"A tank is filled in 5 hours by three pipes A, B and C. The pipe C is twice as fast as B and B is twice as fast as A. How much time will pipe A alone take to fill the tank?","['20 hours', '25 hours', '35 hours', 'Cannot be determined', 'None of these']",C,"Suppose pipe A alone takesxhours to fill the tank.Then, pipes B and C will takexandxhours respectively to fill the tank.241+2+4=1xxx57=1x5x= 35 hrs.",pipes-and-cistern
"Two pipes A and B together can fill a cistern in 4 hours. Had they been opened separately, then B would have taken 6 hours more than A to fill the cistern. How much time will be taken by A to fill the cistern separately?","['1 hour', '2 hours', '6 hours', '8 hours']",C,"Let the cistern be filled by pipe A alone inxhours.Then, pipe B will fill it in (x+ 6) hours.1+1=1x(x+ 6)4x+ 6 +x=1x(x+ 6)4x2- 2x- 24 = 0(x-6)(x+ 4) = 0x= 6.     [neglecting the negative value ofx]",pipes-and-cistern
"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. If both the pipes are used together, then how long will it take to fill the tank?","['12 min', '15 min', '25 min', '50 min']",A,Part filled by A in 1 min =1.20Part filled by B in 1 min =1.30Part filled by (A + B) in 1 min =1+1=1.203012Both pipes can fill the tank in 12 minutes.,pipes-and-cistern
"Two pipes A and B can fill a tank in 15 minutes and 20 minutes respectively. Both the pipes are opened together but after 4 minutes, pipe A is turned off. What is the total time required to fill the tank?","['10 min. 20 sec.', '11 min. 45 sec.', '12 min. 30 sec.', '14 min. 40 sec.']",D,Part filled in 4 minutes = 41+1=7.152015Remaining part =1 -7=8.1515Part filled by B in 1 minute =1201:8::1 :x2015x=8x 1 x 20= 102min = 10 min. 40 sec.153The tank will be full in (4 min. + 10 min. + 40 sec.) = 14 min. 40 sec.,pipes-and-cistern
"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:","['81 min.', '108 min.', '144 min.', '192 min.']",C,"Let the slower pipe alone fill the tank inxminutes.Then, faster pipe will fill it inxminutes.31+3=1xx364=1x36x= 144 min.",pipes-and-cistern
A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,"['15 min', '20 min', '27.5 min', '30 min']",D,"Part filled by (A + B) in 1 minute =1+1=1.604024Suppose the tank is filled inxminutes.Then,x1+1= 122440xx1= 1215x= 30 min.",pipes-and-cistern
"A tap can fill a tank in 6 hours. After half the tank is filled, three more similar taps are opened. What is the total time taken to fill the tank completely?","['3 hrs 15 min', '3 hrs 45 min', '4 hrs', '4 hrs 15 min']",B,"Time taken by one tap to fillhalf of the tank= 3 hrs.Part filled by the four taps in 1 hour =4 x1=2.63Remaining part =1 -1=1.222:1::1 :x32x=1x 1 x3=3hoursi.e.,45 mins.224So, total time taken = 3 hrs. 45 mins.",pipes-and-cistern
"Three taps A, B and C can fill a tank in 12, 15 and 20 hours respectively. If A is open all the time and B and C are open for one hour each alternately, the tank will be full in:","['6 hours', '62hours3', '7 hours', '71hours2']",C,"(A + B)'s 1 hour's work =1+1=9=3.12156020(A + C)'s  hour's work =1+1=8=2.12206015Part filled in 2 hrs =3+2=17.201560Part filled in 6 hrs =3 x17=17.6020Remaining part =1 -17=3.2020Now, it is the turn of A and B and3part is filled by A and B in 1 hour.20Total time taken to fill the tank = (6 + 1) hrs = 7 hrs.",pipes-and-cistern
"Three pipes A, B and C can fill a tank in 6 hours. After working at it together for 2 hours, C is closed and A and B can fill the remaining part in 7 hours. The number of hours taken by C alone to fill the tank is:","['10', '12', '14', '16']",C,Part filled in 2 hours =2=163Remaining part =1 -1=2.33(A + B)'s 7 hour's work =23(A + B)'s 1 hour's work =221C's 1 hour's work = { (A + B + C)'s 1 hour's work } - { (A + B)'s 1 hour's work }=1-2=162114C alone can fill the tank in 14 hours.,pipes-and-cistern
"A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream.","['2 hours', '3 hours', '4 hours', '5 hours']",C,Speed downstream = (13 + 4) km/hr = 17 km/hr.Time taken to travel 68 km downstream =68hrs = 4 hrs.17,boats-and-streams
A man's speed with the current is 15 km/hr and the speed of the current is 2.5 km/hr. The man's speed against the current is:,"['8.5 km/hr', '9 km/hr', '10 km/hr', '12.5 km/hr']",C,Man's rate in still water = (15 - 2.5) km/hr = 12.5 km/hr.Man's rate against the current = (12.5 - 2.5) km/hr = 10 km/hr.,boats-and-streams
"A boat running upstream takes 8 hours 48 minutes to cover a certain distance, while it takes 4 hours to cover the same distance running downstream. What is the ratio between the speed of the boat and speed of the water current respectively?","['2 : 1', '3 : 2', '8 : 3', 'Cannot be determined', 'None of these']",C,"Let the man's rate upstream bexkmph and that downstream beykmph.Then, distance covered upstream in 8 hrs 48 min = Distance covered downstream in 4 hrs.xx 84= (yx 4)544x=4y5y=11x.5Required ratio =y+x:y-x22=16xx1:6xx15252=8:355= 8 : 3.",boats-and-streams
"A motorboat, whose speed in 15 km/hr in still water goes 30 km downstream and comes back in a total of 4 hours 30 minutes. The speed of the stream (in km/hr) is:","['4', '5', '6', '10']",B,"Let the speed of the stream bexkm/hr. Then,Speed downstream = (15 +x) km/hr,Speed upstream = (15 -x) km/hr.30+30= 41(15 +x)(15 -x)2900=9225 -x229x2= 225x2= 25x= 5 km/hr.Video Explanation:https://youtu.be/lMFnNB3YQOo",boats-and-streams
"In one hour, a boat goes 11 km/hr along the stream and 5 km/hr against the stream. The speed of the boat in still water (in km/hr) is:","['3 km/hr', '5 km/hr', '8 km/hr', '9 km/hr']",C,Speed in still water =1(11 + 5) kmph = 8 kmph.2Video Explanation:https://youtu.be/KQX_mA3tcVA,boats-and-streams
"A boat running downstream covers a distance of 16 km in 2 hours while for covering the same distance upstream, it takes 4 hours. What is the speed of the boat in still water?","['4 km/hr', '6 km/hr', '8 km/hr', 'Data inadequate']",B,Rate downstream =16kmph = 8 kmph.2Rate upstream =16kmph = 4 kmph.4Speed in still water =1(8 + 4) kmph = 6 kmph.2Video Explanation:https://youtu.be/3D8uAfzz3l0,boats-and-streams
The speed of a boat in still water in 15 km/hr and the rate of current is 3 km/hr. The distance travelled downstream in 12 minutes is:,"['1.2 km', '1.8 km', '2.4 km', '3.6 km']",D,Speed downstream = (15 + 3) kmph = 18 kmph.Distance travelled =18 x12km = 3.6 km.60Video Explanation:https://youtu.be/IDOwWUeOldQ,boats-and-streams
"A boat takes 90 minutes less to travel 36 miles downstream than to travel the same distance upstream. If the speed of the boat in still water is 10 mph, the speed of the stream is:","['2 mph', '2.5 mph', '3 mph', '4 mph']",A,"Let the speed of the streamxmph. Then,Speed downstream = (10 +x) mph,Speed upstream = (10 -x) mph.36-36=90(10 -x)(10 +x)6072xx 60 = 90 (100 -x2)x2+ 48x- 100 = 0(x+ 50)(x- 2) = 0x= 2 mph.",boats-and-streams
"A man can row at 5 kmph in still water. If the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back, how far is the place?","['2.4 km', '2.5 km', '3 km', '3.6 km']",A,"Speed downstream = (5 + 1) kmph = 6 kmph.Speed upstream = (5 - 1) kmph = 4 kmph.Let the required distance bexkm.Then,x+x= 1642x+ 3x= 125x= 12x= 2.4 km.",boats-and-streams
"A boat covers a certain distance downstream in 1 hour, while it comes back in 1hours. If the speed of the stream be 3 kmph, what is the speed of the boat in still water?","['12 kmph', '13 kmph', '14 kmph', '15 kmph', 'None of these']",D,"Let the speed of the boat in still water bexkmph. Then,Speed downstream = (x+ 3) kmph,Speed upstream = (x- 3) kmph.(x+ 3) x 1 = (x- 3) x322x+ 6 = 3x- 9x= 15 kmph.",boats-and-streams
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,"['40 minutes', '1 hour', '1 hr 15 min', '1 hr 30 min']",C,Rate downstream =1x 60km/hr = 6 km/hr.10Rate upstream = 2 km/hr.Speed in still water =1(6 + 2) km/hr = 4 km/hr.2Required time =5hrs = 11hrs = 1 hr 15 min.44,boats-and-streams
A man can row three-quarters of a kilometre against the stream in 11minutes and down the stream in 7minutes. The speed (in km/hr) of the man in still water is:,"['2', '3', '4', '5']",D,"We can write three-quarters of a kilometre as 750 metres,and 11minutes as 675 seconds.Rate upstream =750m/sec=10m/sec.6759Rate downstream =750m/sec=5m/sec.4503Rate in still water =110+5m/sec293=25m/sec18=25x18km/hr185= 5 km/hr.",boats-and-streams
Speed of a boat in standing water is 9 kmph and the speed of the stream is 1.5 kmph. A man rows to a place at a distance of 105 km and comes back to the starting point. The total time taken by him is:,"['16 hours', '18 hours', '20 hours', '24 hours']",D,Speed upstream = 7.5 kmph.Speed downstream = 10.5 kmph.Total time taken =105+105hours = 24 hours.7.510.5,boats-and-streams
A man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream. The ratio of the speed of the boat (in still water) and the stream is:,"['2 : 1', '3 : 1', '3 : 2', '4 : 3']",B,"Let man's rate upstream bexkmph.Then, his rate downstream = 2xkmph.(Speed in still water) : (Speed of stream) =2x+x:2x-x22=3x:x22= 3 : 1.",boats-and-streams
A man rows to a place 48 km distant and come back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:,"['1 km/hr', '1.5 km/hr', '2 km/hr', '2.5 km/hr']",A,"Suppose he move 4 km downstream inxhours. Then,Speed downstream =4km/hr.xSpeed upstream =3km/hr.x48+48= 14 orx=1.(4/x)(3/x)2So, Speed downstream = 8 km/hr, Speed upstream = 6 km/hr.Rate of the stream =1(8 - 6) km/hr = 1 km/hr.2",boats-and-streams
"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?","['13', '14', '15', '17']",C,"Suppose the vessel initially contains 8 litres of liquid.Letxlitres of this liquid be replaced with water.Quantity of water in new mixture =3 -3x+xlitres8Quantity of syrup in new mixture =5 -5xlitres83 -3x+x=5 -5x885x+ 24 = 40 - 5x10x= 16x=8.5So, part of the mixture replaced =8x1=1.585",alligation-or-mixture
"Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:","['Rs. 169.50', 'Rs. 170', 'Rs. 175.50', 'Rs. 180']",C,"Since first and second varieties are mixed in equal proportions.So, their average price = Rs.126 + 135= Rs. 130.502So, the mixture is formed by mixing two varieties, one at Rs. 130.50 per kg and the other at say, Rs.xper kg in the ratio 2 : 2,i.e.,1 : 1. We have to findx.By the rule of alligation, we have:Cost of 1 kg of 1stkindCost of 1 kg tea of 2ndkindRs. 130.50Mean PriceRs. 153Rs.x(x- 153)22.50x- 153= 122.50x- 153 = 22.50x= 175.50",alligation-or-mixture
"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?","['10', '20', '21', '25']",C,"Suppose the can initially contains 7xand 5xof mixtures A and B respectively.Quantity of A in mixture left =7x-7x 9litres =7x-21litres.124Quantity of B in mixture left =5x-5x 9litres =5x-15litres.1247x-214=75x-15+ 94928x- 21=720x+ 219252x- 189 = 140x+ 147112x= 336x= 3.So, the can contained 21 litres of A.",alligation-or-mixture
A milk vendor has 2 cans of milk. The first contains 25% water and the rest milk. The second contains 50% water. How much milk should he mix from each of the containers so as to get 12 litres of milk such that the ratio of water to milk is 3 : 5?,"['4 litres, 8 litres', '6 litres, 6 litres', '5 litres, 7 litres', '7 litres, 5 litres']",B,"Let the cost of 1 litre milk be Re. 1Milk in 1 litre mix. in 1stcan =3litre, C.P. of 1 litre mix. in 1stcan Re.344Milk in 1 litre mix. in 2ndcan =1litre, C.P. of 1 litre mix. in 2ndcan Re.122Milk in 1 litre of final mix. =5litre, Mean price = Re.588By the rule of alligation, we have:C.P. of 1 litre mixture in 1stcanC.P. of 1 litre mixture in 2ndcan34Mean Price58121818Ratio of two mixtures =1:1= 1 : 1.88So, quantity of mixture taken from each can =1x 12= 6 litres.2",alligation-or-mixture
In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 kg?,"['3 : 7', '5 : 7', '7 : 3', '7 : 5']",C,By the rule of alligation:Cost of 1 kg pulses of 1stkindCost of 1 kg pulses of 2ndkindRs. 15Mean PriceRs. 16.50Rs. 203.501.50Required rate = 3.50 : 1.50  = 7 : 3.,alligation-or-mixture
A dishonest milkman professes to sell his milk at cost price but he mixes it with water and thereby gains 25%. The percentage of water in the mixture is:,"['4%', '6%', '20%', '25%']",C,"Let C.P. of 1 litre milk be Re. 1Then, S.P. of 1 litre of mixture = Re. 1, Gain = 25%.C.P. of 1 litre mixture = Re.100x 1=41255By the rule of alligation, we have:C.P. of 1 litre of milkC.P. of 1 litre of waterRe. 1Mean PriceRe.4504515Ratio of milk to water =4:1= 4 : 1.55Hence, percentage of water in the mixture =1x 100%= 20%.5",alligation-or-mixture
How many kilogram of sugar costing Rs. 9 per kg must be mixed with 27 kg of sugar costing Rs. 7 per kg so that there may be a gain of 10% by selling the mixture at Rs. 9.24 per kg?,"['36 kg', '42 kg', '54 kg', '63 kg']",D,"S.P. of 1 kg of mixture = Rs. 9.24, Gain 10%.C.P. of 1 kg of mixture = Rs.100x 9.24= Rs. 8.40110By the rule of allilation, we have:C.P. of 1 kg sugar of 1stkindCost of 1 kg sugar of 2ndkindRs. 9Mean PriceRs. 8.40Rs. 71.400.60Ratio of quantities of 1stand 2ndkind = 14 : 6 = 7 : 3.Letxkg of sugar of 1stbe mixed with 27 kg of 2ndkind.Then, 7 : 3 =x: 27x=7 x 27= 63 kg.3",alligation-or-mixture
A container contains 40 litres of milk. From this container 4 litres of milk was taken out and replaced by water. This process was repeated further two times. How much milk is now contained by the container?,"['26.34 litres', '27.36 litres', '28 litres', '29.16 litres']",D,Amount of milk left after 3 operations =401 -43litres40=40 x9x9x9= 29.16 litres.101010,alligation-or-mixture
